Date,Terminal,Product,TGP_Excluding_GST,GST,TGP_Including_GST
7/08/2026,Hastings,ULP,174.87,17.49,192.36
7/08/2026,Hastings,E10,174.87,17.49,192.36
7/08/2026,Hastings,P95,188.32,18.83,207.15
7/08/2026,Hastings,P98,195.09,19.51,214.60
7/08/2026,Hastings,DIS,210.51,21.05,231.56
7/08/2026,Hastings,PREDIS,212.51,21.25,233.76
7/08/2026,Yarraville,ULP,178.50,17.85,196.35
7/08/2026,Yarraville,E10,175.91,17.59,193.50
7/08/2026,Yarraville,P95,189.30,18.93,208.23
7/08/2026,Yarraville,P98,195.40,19.54,214.94
7/08/2026,Yarraville,DIS,213.10,21.31,234.41
7/08/2026,Yarraville,PREDIS,215.10,21.51,236.61
7/08/2026,Sydney,ULP,174.11,17.41,191.52
7/08/2026,Sydney,E10,174.02,17.40,191.42
7/08/2026,Sydney,P95,188.89,18.89,207.78
7/08/2026,Sydney,P98,196.59,19.66,216.24
7/08/2026,Sydney,DIS,210.68,21.07,231.75
7/08/2026,Sydney,PREDIS,212.68,21.27,233.95
7/08/2026,Brisbane,ULP,176.13,17.61,193.74
7/08/2026,Brisbane,E10,172.52,17.25,189.77
7/08/2026,Brisbane,P95,186.40,18.64,205.04
7/08/2026,Brisbane,P98,199.39,19.94,219.32
7/08/2026,Brisbane,DIS,211.22,21.12,232.34
7/08/2026,Brisbane,PREDIS,213.22,21.32,234.54
7/08/2026,Brisbane,B5,214.87,21.49,236.35
7/08/2026,Gladstone,ULP,182.18,18.22,200.40
7/08/2026,Gladstone,E10,179.76,17.98,197.74
7/08/2026,Gladstone,P95,184.27,18.43,202.70
7/08/2026,Gladstone,P98,,,
7/08/2026,Gladstone,DIS,211.02,21.10,232.12
7/08/2026,Gladstone,PREDIS,213.02,21.30,234.32
7/08/2026,Mackay,ULP,182.05,18.20,200.25
7/08/2026,Mackay,E10,182.15,18.22,200.37
7/08/2026,Mackay,P95,184.81,18.48,203.29
7/08/2026,Mackay,P98,187.72,18.77,206.50
7/08/2026,Mackay,DIS,211.53,21.15,232.68
7/08/2026,Mackay,PREDIS,213.53,21.35,234.88
7/08/2026,Townsville,ULP,182.07,18.21,200.28
7/08/2026,Townsville,E10,183.07,18.31,201.38
7/08/2026,Townsville,P95,193.22,19.32,212.54
7/08/2026,Townsville,P98,210.51,21.05,231.56
7/08/2026,Townsville,DIS,213.67,21.37,235.04
7/08/2026,Townsville,PREDIS,215.67,21.57,237.24
7/08/2026,Cairns,ULP,181.09,18.11,199.20
7/08/2026,Cairns,E10,184.25,18.43,202.68
7/08/2026,Cairns,P95,190.17,19.02,209.19
7/08/2026,Cairns,P98,,,
7/08/2026,Cairns,DIS,211.98,21.20,233.18
7/08/2026,Cairns,PREDIS,213.98,21.40,235.38
7/08/2026,Port Alma,DIS,211.02,21.10,232.12
7/08/2026,Adelaide,ULP,173.15,17.32,190.47
7/08/2026,Adelaide,E10,169.39,16.94,186.33
7/08/2026,Adelaide,P95,182.16,18.22,200.37
7/08/2026,Adelaide,P98,195.64,19.56,215.21
7/08/2026,Adelaide,DIS,207.10,20.71,227.81
7/08/2026,Adelaide,PREDIS,209.10,20.91,230.01
7/08/2026,Perth,ULP,175.51,17.55,193.06
7/08/2026,Perth,E10,,,
7/08/2026,Perth,P95,186.18,18.62,204.80
7/08/2026,Perth,P98,200.05,20.01,220.06
7/08/2026,Perth,DIS,208.25,20.82,229.07
7/08/2026,Perth,PREDIS,210.25,21.02,231.27
7/08/2026,Darwin,ULP,179.60,17.96,197.56
7/08/2026,Darwin,E10,,,
7/08/2026,Darwin,P95,189.27,18.93,208.20
7/08/2026,Darwin,P98,,,
7/08/2026,Darwin,DIS,210.66,21.07,231.73
7/08/2026,Darwin,PREDIS,212.66,21.27,233.93
7/08/2026,Bell Bay,ULP,179.03,17.90,196.94
7/08/2026,Bell Bay,E10,180.75,18.08,198.83
7/08/2026,Bell Bay,P95,188.50,18.85,207.34
7/08/2026,Bell Bay,P98,191.61,19.16,210.77
7/08/2026,Bell Bay,DIS,214.85,21.48,236.33
7/08/2026,Bell Bay,PREDIS,216.85,21.68,238.53
7/08/2026,Broome,ULP,203.30,20.33,223.63
7/08/2026,Broome,E10,,,
7/08/2026,Broome,P95,213.09,21.31,234.39
7/08/2026,Broome,P98,,,
7/08/2026,Broome,DIS,217.81,21.78,239.59
