Date,Terminal,Product,TGP_Excluding_GST,GST,TGP_Including_GST
13/03/2026,Hastings,ULP,176.43,17.64,194.07
13/03/2026,Hastings,E10,176.25,17.62,193.87
13/03/2026,Hastings,P95,193.52,19.35,212.87
13/03/2026,Hastings,P98,200.70,20.07,220.77
13/03/2026,Hastings,DIS,211.23,21.12,232.36
13/03/2026,Hastings,PREDIS,213.05,21.31,234.36
13/03/2026,Yarraville,ULP,176.43,17.64,194.07
13/03/2026,Yarraville,E10,176.25,17.62,193.87
13/03/2026,Yarraville,P95,193.52,19.35,212.87
13/03/2026,Yarraville,P98,200.70,20.07,220.77
13/03/2026,Yarraville,DIS,211.23,21.12,232.36
13/03/2026,Yarraville,PREDIS,213.05,21.31,234.36
13/03/2026,Sydney,ULP,175.70,17.57,193.27
13/03/2026,Sydney,E10,175.43,17.54,192.98
13/03/2026,Sydney,P95,194.13,19.41,213.54
13/03/2026,Sydney,P98,202.24,20.22,222.46
13/03/2026,Sydney,DIS,211.45,21.14,232.59
13/03/2026,Sydney,PREDIS,213.26,21.33,234.59
13/03/2026,Brisbane,ULP,180.76,18.08,198.84
13/03/2026,Brisbane,E10,178.62,17.86,196.48
13/03/2026,Brisbane,P95,192.04,19.20,211.24
13/03/2026,Brisbane,P98,205.68,20.57,226.25
13/03/2026,Brisbane,DIS,213.15,21.32,234.47
13/03/2026,Brisbane,PREDIS,214.97,21.50,236.47
13/03/2026,Brisbane,B5,216.80,21.68,238.48
13/03/2026,Gladstone,ULP,183.91,18.39,202.30
13/03/2026,Gladstone,E10,181.55,18.16,199.71
13/03/2026,Gladstone,P95,189.01,18.90,207.91
13/03/2026,Gladstone,P98,,,
13/03/2026,Gladstone,DIS,212.00,21.20,233.20
13/03/2026,Gladstone,PREDIS,213.81,21.38,235.20
13/03/2026,Mackay,ULP,184.04,18.40,202.44
13/03/2026,Mackay,E10,184.18,18.42,202.60
13/03/2026,Mackay,P95,190.49,19.05,209.54
13/03/2026,Mackay,P98,193.39,19.34,212.73
13/03/2026,Mackay,DIS,212.75,21.27,234.02
13/03/2026,Mackay,PREDIS,214.57,21.46,236.02
13/03/2026,Townsville,ULP,183.99,18.40,202.39
13/03/2026,Townsville,E10,184.99,18.50,203.49
13/03/2026,Townsville,P95,198.83,19.88,218.71
13/03/2026,Townsville,P98,216.10,21.61,237.72
13/03/2026,Townsville,DIS,214.88,21.49,236.37
13/03/2026,Townsville,PREDIS,216.70,21.67,238.37
13/03/2026,Cairns,ULP,182.84,18.28,201.12
13/03/2026,Cairns,E10,189.01,18.90,207.91
13/03/2026,Cairns,P95,194.92,19.49,214.42
13/03/2026,Cairns,P98,,,
13/03/2026,Cairns,DIS,212.92,21.29,234.21
13/03/2026,Cairns,PREDIS,214.74,21.47,236.21
